Name,Price,Ram,System,SSD,Processor,Display
ASUS Intel Ryzen 7 Octa Core 6th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/AMD Radeon ?AMD R...,"₹1,35,000",16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,Intel Ryzen 7 Octa Core Processor (6th Gen),35.56 cm (14 Inch) Display
HP Pavilion Eyesafe Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) EG2036TU Thin an...,"₹81,290",16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (12th Gen),39.62 cm (15.6 Inch) Display
"ASUS V16 (2025) for Creator with Office 2024 + M365 Basic*,AI PC (i5 14th Gen) Intel Core 5 210H - (16...","₹1,02,999",16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core 5 Processor,40.64 cm (16 Inch) Display
HP Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5006TU Thin and Light Laptop,"₹55,890",8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,Intel Core i3 Processor (12th Gen),39.62 cm (15.6 Inch) Display
Lenovo Ultra 5 225U Intel Core Ultra 5 225U - (16 GB/1 TB SSD/Windows 11 Home) 21SKA0FTIG Laptop,"₹1,10,999",16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,Intel Core Ultra 5 Processor,40.64 cm (16 inch) Display
DELL AMD Ryzen 5 Dual Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3535 Thin and Light Lapt...,"₹52,064",8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,AMD Ryzen 5 Dual Core Processor,39.62 cm (15.6 Inch) Display
HP 14s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy5008TU Thin and Light ...,"₹58,990",8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i3 Processor (12th Gen),35.56 cm (14 Inch) Display
Acer Swift X Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) SFX16-51...,"₹1,09,999",16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (11th Gen),40.89 cm (16.1 Inch) Display
HP 15s AMD Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s-ey1508AU Thin and Light Lap...,"₹52,990",8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,AMD Ryzen 3 Dual Core Processor,39.62 cm (15.6 Inch) Display
ASUS Vivobook 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ540WS Thi...,"₹65,990",16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (13th Gen),39.62 cm (15.6 Inch) Display
DELL Vostro 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light L...,"₹68,990",16 GB DDR4 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,Intel Core i3 Processor (13th Gen),39.62 cm (15.6 Inch) Display
HP 15s AMD Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-eq0500AU Thin and Light Lap...,"₹57,790",8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,AMD Ryzen 5 Quad Core Processor,39.62 cm (15.6 Inch) Display
Lenovo IdeaPad Slim 3 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) Ideapad Slim 3 ...,"₹62,811",16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,39.62 cm (15.6 Inch) Display
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 ...","₹85,608",16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i7 Processor (13th Gen),39.62 cm (15.6 inch) Display
Acer Aspire 3 AMD Dual Core 3020e - (4 GB/256 GB SSD/Windows 11 Home) A314-22 Laptop,"₹39,119",4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,AMD Dual Core Processor,35.56 cm (14 Inch) Display
