Brand,Model,Processor,Ram,SSD,Price,Display
Acer,Aspire,AMD Ryzen,16 GB,1 TB,74500,39.62 cm
DELL,15,AMD Ryzen,16 GB,512 GB,68939,38.1 cm
HP,Victus,Intel Core,16 GB,512 GB,104990,39.62 cm
Samsung,Galaxy,Snapdragon X,16 GB,512 GB,74990,39.62 cm
ASUS,Expertbook,AMD Ryzen,16 GB,512 GB,67990,39.62 cm
ASUS,Vivobook,AMD Ryzen,16 GB,512 GB,67990,39.62 cm
ASUS,ExpertBook,Intel Core,16 GB,512 GB,87925,35.56 cm
Acer,Aspire,Intel Core,16 GB,512 GB,92990,39.62 cm
ASUS,Vivobook,AMD Ryzen,8 GB,512 GB,54100,35.56 cm
Acer,Aspire,Intel Core,8 GB,512 GB,54990,39.62 cm
HP,14,Intel Core,16 GB,512 GB,86500,35.56 cm
Acer,Aspire,AMD Ryzen,8 GB,256 GB,47735,39.62 cm
Acer,Aspire,AMD Ryzen,16 GB,512 GB,56990,39.62 cm
ASUS,ROG,AMD Ryzen,16 GB,1 TB,154990,40.64 cm
ASUS,ExpertBook,Intel Core,32 GB,512 GB,99828,35.56 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,98990,35.56 cm
HP,15s,AMD Ryzen,8 GB,512 GB,52100,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,77016,40.64 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,73990,38.86 cm
Acer,Aspire,Intel Core,12 GB,512 GB,61990,39.62 cm
HP,Professional,Intel Core,16 GB,512 GB,78455,35.56 cm
Lenovo,LOQ,Intel Core,16 GB,512 GB,127990,39.62 cm
Lenovo,LOQ,Intel Core,16 GB,1 TB,147990,39.62 cm
ASUS,ROG,Intel Core,32 GB,1 TB,249990,40.64 cm
Acer,Aspire,Intel Celeron,8 GB,512 GB,35499,29.46 cm
MSI,Stealth,Intel Core,16 GB,2 TB,347990,43.94 cm
ASUS,TUF,AMD Ryzen,16 GB,1 TB,189990,40.64 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,74990,38.86 cm
Lenovo,AMD,AMD Ryzen,8 GB,512 GB,51990,39.62 cm
Acer,Aspire,Intel Core,8 GB,512 GB,59834,39.62 cm
ASUS,ExpertBook,Intel Core,16 GB,512 GB,87500,40.64 cm
ASUS,TUF,Intel Core,16 GB,1 TB,149990,40.64 cm
HP,HP,Intel Core,16 GB,512 GB,52721,39.62 cm
Apple,MacBook,Apple M5,16 GB,512 GB,179900,38.86 cm
Apple,MacBook,Apple M5,16 GB,512 GB,149900,34.54 cm
HP,Pavilion,Intel Core,16 GB,512 GB,92746,35.56 cm
HP,OmniBook,Intel Core,16 GB,512 GB,71990,40.64 cm
ASUS,Expertbook,Intel Core,16 GB,512 GB,73990,35.56 cm
Acer,Nitro,Intel Core,16 GB,512 GB,139990,39.62 cm
DELL,14,AMD Ryzen,16 GB,512 GB,73490,35.56 cm
HP,Omen,AMD Ryzen,24 GB,1 TB,174237,40.64 cm
HP,Victus,Intel Core,16 GB,512 GB,96958,40.89 cm
HP,15,AMD Ryzen,8 GB,512 GB,51499,39.62 cm
ASUS,Vivobook,AMD Ryzen,8 GB,512 GB,54990,35.56 cm
MSI,Commercial,Intel Core,32 GB,1 TB,92990,35.56 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,60980,39.62 cm
DELL,14,Intel Core,16 GB,512 GB,94135,35.56 cm
Acer,Aspire,Intel Core,16 GB,512 GB,68999,39.62 cm
HP,Victus,AMD Ryzen,24 GB,1 TB,164000,39.62 cm
Acer,Aspire,Intel Core,16 GB,512 GB,66309,39.62 cm
Acer,Acer,Intel Core,8 GB,512 GB,49990,39.62 cm
MOTOROLA,Motobook,Intel Core,16 GB,512 GB,74990,35.56 cm
ASUS,ExpertBook,Intel Core,16 GB,512 GB,86990,40.64 cm
ASUS,Vivobook,Snapdragon X,16 GB,512 GB,84557,40.64 cm
DELL,Inspiron,Intel Core,8 GB,512 GB,64990,39.62 cm
DELL,Intel,Intel Core,32 GB,1 TB,400450,40.64 cm
ASUS,Vivobook,Snapdragon X,16 GB,512 GB,74991,40.64 cm
Acer,Aspire,Intel Celeron,8 GB,512 GB,42990,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,62200,39.62 cm
ASUS,Vivobook,Snapdragon X,16 GB,512 GB,70990,35.56 cm
ASUS,ROG,Intel Core,16 GB,1 TB,204990,40.64 cm
Lenovo,LOQ,Intel Core,16 GB,512 GB,110990,39.62 cm
HP,(i5,Intel Core,16 GB,512 GB,69990,35.56 cm
HP,15s,Intel Core,8 GB,512 GB,70064,39.62 cm
Apple,MacBook,Apple M5,16 GB,512 GB,149900,34.54 cm
Acer,Aspire,AMD Ryzen,16 GB,512 GB,64643,39.62 cm
ASUS,TUF,AMD Ryzen,32 GB,1 TB,99990,39.62 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,58990,35.56 cm
Lenovo,Yoga,Intel Core,32 GB,1 TB,146890,35.56 cm
ASUS,ROG,Intel Core,16 GB,1 TB,169990,40.64 cm
HP,(i3,Intel Core,8 GB,512 GB,57990,39.62 cm
Lenovo,IdeaPad,Intel Core,32 GB,1 TB,135990,35.56 cm
Acer,Aspire,Intel Core,16 GB,512 GB,87498,39.62 cm
Acer,Nitro,AMD Ryzen,16 GB,512 GB,85999,39.62 cm
Lenovo,LOQ,Intel Core,12 GB,512 GB,80090,39.62 cm
ASUS,Vivobook,AMD Ryzen,16 GB,1 TB,86990,35.56 cm
DELL,15,Intel Core,16 GB,512 GB,71990,39.62 cm
DELL,15,Intel Core,16 GB,512 GB,78990,39.62 cm
Apple,MacBook,Apple M5,16 GB,512 GB,149900,34.54 cm
Lenovo,LOQ,Intel Core,16 GB,512 GB,118990,39.62 cm
HP,HyperX,Intel Core,24 GB,1 TB,189998,38.86 cm
Acer,Travellite,Intel Core,8 GB,512 GB,56990,35.56 cm
Acer,Intel,Intel Core,8 GB,512 GB,47990,39.62 cm
HP,255,AMD Athlon,8 GB,256 GB,47048,39.62 cm
Lenovo,IdeaPad,AMD Ryzen,16 GB,512 GB,64990,39.62 cm
Apple,Macbook,Apple A18,8 GB,256 GB,79900,33.02 cm
DELL,Vostro,Intel Core,16 GB,512 GB,70999,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,111990,35.56 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,72990,38.86 cm
Lenovo,LQQ,AMD Ryzen,16 GB,512 GB,132990,39.62 cm
ASUS,Gaming,Intel Core,16 GB,512 GB,118999,40.64 cm
Lenovo,Yoga,Intel Core,16 GB,1 TB,101990,35.56 cm
HP,Omnibook,Intel Core,16 GB,512 GB,72990,40.64 cm
Acer,One,AMD Ryzen,8 GB,512 GB,47990,35.56 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,86500,35.56 cm
Acer,Aspire,Intel Core,16 GB,512 GB,96990,39.62 cm
HP,245,AMD Ryzen,8 GB,512 GB,57538,35.81 cm
DELL,Inspiron,Intel Core,8 GB,512 GB,64990,39.62 cm
Lenovo,LOQ,Intel Core,16 GB,512 GB,98900,39.62 cm
Acer,Aspire,Intel Core,8 GB,512 GB,54512,35.56 cm
HP,250R,Intel Core,8 GB,512 GB,53990,39.62 cm
Lenovo,IdeaPad,Snapdragon X,16 GB,1 TB,105000,35.56 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,111990,35.56 cm
Apple,Macbook,Apple A18,8 GB,512 GB,89900,33.02 cm
DELL,15,Intel Core,16 GB,512 GB,69990,39.62 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,66474,39.62 cm
Lenovo,Legion,AMD Ryzen,16 GB,1 TB,186490,38.86 cm
HP,15,AMD Ryzen,16 GB,512 GB,79990,39.62 cm
ASUS,Vivobook,Snapdragon X,16 GB,512 GB,72787,35.56 cm
DELL,15,AMD Ryzen,8 GB,512 GB,55990,38.1 cm
DELL,Inspiron,Intel Core,8 GB,512 GB,54600,38.1 cm
HP,15,Intel Core,16 GB,512 GB,50843,39.62 cm
Lenovo,AMD,AMD Ryzen,16 GB,512 GB,99000,35.56 cm
Acer,Aspire,Intel Celeron,12 GB,512 GB,45000,39.62 cm
ASUS,Vivobook,AMD Ryzen,16 GB,512 GB,70990,39.62 cm
Lenovo,LOQ,Intel Core,16 GB,1 TB,162090,39.62 cm
MICROSOFT,Surface,Snapdragon X,16 GB,512 GB,156622,30.48 cm
Acer,Aspire,AMD Ryzen,16 GB,1 TB,75999,39.62 cm
ASUS,Zenbook,Intel Core,16 GB,512 GB,96990,35.56 cm
DELL,14,Intel Core,16 GB,512 GB,102990,35.56 cm
ASUS,VivoBook,AMD Ryzen,8 GB,512 GB,73990,35.56 cm
Lenovo,IdeaPad,Intel Core,8 GB,512 GB,54990,39.62 cm
DELL,G15,Intel Core,16 GB,1 TB,110990,39.62 cm
ASUS,TUF,Intel Core,16 GB,512 GB,50990,43.94 cm
Samsung,Galaxy,Intel Core,32 GB,1 TB,214990,35.56 cm
Acer,Aspire,Intel Core,16 GB,512 GB,84999,35.56 cm
HP,Victus,Intel Core,16 GB,512 GB,97599,39.62 cm
ASUS,Intel,Intel Core,16 GB,512 GB,78999,35.56 cm
ASUS,Vivobook,AMD Ryzen,16 GB,512 GB,69990,39.62 cm
Acer,Swift,Intel Core,8 GB,512 GB,70990,35.56 cm
Lenovo,Legion,Intel Core,32 GB,1 TB,228490,40.64 cm
Samsung,Galaxy,Intel Core,16 GB,1 TB,147926,33.78 cm
MSI,Modern,Intel Core,16 GB,1 TB,64990,38.1 cm
DELL,16,AMD Ryzen,16 GB,512 GB,72490,40.64 cm
Acer,Aspire,AMD Ryzen,8 GB,512 GB,59991,35.56 cm
ASUS,ROG,AMD Ryzen,16 GB,1 TB,198999,40.64 cm
HP,15s,Intel Core,8 GB,512 GB,58990,39.62 cm
Acer,Aspire,AMD Ryzen,8 GB,256 GB,39990,39.62 cm
Lenovo,LOQ,Intel Core,16 GB,512 GB,93990,39.62 cm
Lenovo,LOQ,Intel Core,16 GB,1 TB,177990,39.62 cm
Acer,Nitro,Intel Core,16 GB,512 GB,106999,39.62 cm
ASUS,VivoBook,Intel Core,8 GB,256 GB,50990,35.56 cm
Acer,Predator,Intel Core,16 GB,1 TB,188990,40.64 cm
Acer,Aspire,Intel Core,8 GB,512 GB,54647,39.62 cm
Lenovo,IdeaPad,AMD Ryzen,16 GB,512 GB,61890,39.62 cm
ASUS,Vivobook,Intel Core,4 GB,512 GB,49990,35.56 cm
Lenovo,V,AMD Ryzen,16 GB,512 GB,59990,39.62 cm
MSI,Modern,Intel Core,16 GB,512 GB,52990,35.56 cm
Acer,Aspire,Intel Core,16 GB,512 GB,64990,39.62 cm
HP,Pavilion,Intel Core,16 GB,512 GB,98999,35.56 cm
ASUS,TUF,AMD Ryzen,16 GB,512 GB,73990,39.62 cm
HP,EliteBook,AMD Ryzen,16 GB,512 GB,94995,35.56 cm
DELL,PRO,AMD Ryzen,8 GB,512 GB,52999,39.62 cm
ASUS,Expertbook,Intel Core,32 GB,1 TB,105000,35.56 cm
DELL,15,Intel Core,16 GB,512 GB,87990,39.62 cm
Acer,Aspire,Intel Core,16 GB,512 GB,68900,39.62 cm
ASUS,ExpertBook,Intel Core,32 GB,1 TB,272990,35.56 cm
HP,15s,Intel Core,8 GB,512 GB,52400,39.62 cm
Lenovo,IdeaPad,AMD Ryzen,8 GB,512 GB,59795,39.62 cm
HP,Intel,Intel Core,16 GB,512 GB,87500,39.62 cm
HP,Pavilion,Intel Core,16 GB,1 TB,77002,39.62 cm
Lenovo,AMD,AMD Ryzen,16 GB,512 GB,60900,39.62 cm
ASUS,Vivobook,AMD Ryzen,16 GB,512 GB,72990,40.64 cm
WarnerCann,Hi5,Intel Core,8 GB,256 GB,32944,35.56 cm
DELL,Inspiron,Intel Core,8 GB,512 GB,54980,35.56 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,68806,39.62 cm
Acer,Aspire,Intel Core,8 GB,512 GB,47990,39.62 cm
ASUS,Expertbook,Intel Core,16 GB,512 GB,85660,35.56 cm
Lenovo,LOQ,AMD Ryzen,24 GB,512 GB,104290,39.62 cm
HP,Pavilion,AMD Ryzen,16 GB,512 GB,85290,33.78 cm
Samsung,Galaxy,Intel Core,16 GB,1 TB,146990,40.64 cm
HP,15,Intel Core,16 GB,512 GB,79990,39.62 cm
Acer,Aspire,Intel Core,12 GB,512 GB,61990,39.62 cm
ASUS,Vivobook,AMD Ryzen,8 GB,512 GB,46990,39.62 cm
Lenovo,Idea,Intel Core,16 GB,512 GB,79211,38.86 cm
MSI,Cyborg,Intel Core,16 GB,512 GB,89990,39.62 cm
Apple,Macbook,Apple A18,8 GB,512 GB,89900,33.02 cm
DELL,14,Intel Core,16 GB,512 GB,102990,35.56 cm
HP,G10,AMD Ryzen,8 GB,512 GB,56990,35.56 cm
DELL,14,Intel Core,16 GB,512 GB,81646,35.56 cm
HP,Pavilion,Intel Core,16 GB,1 TB,82990,39.62 cm
ASUS,Vivobook,Intel Snapdragon,16 GB,512 GB,66411,40.64 cm
HP,15s,Intel Core,8 GB,512 GB,53990,39.62 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,52990,39.62 cm
Lenovo,IdeaPad,AMD Ryzen,16 GB,512 GB,63795,39.62 cm
Acer,Aspire,Intel Core,8 GB,512 GB,48490,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,88999,39.62 cm
DELL,15,Intel Core,16 GB,512 GB,60720,38.1 cm
Lenovo,Yoga,Intel Core,16 GB,1 TB,158900,35.56 cm
ASUS,Gaming,Intel Core,16 GB,512 GB,119990,40.64 cm
ASUS,Vivobook,Intel Core,12 GB,512 GB,52990,39.62 cm
ASUS,TUF,AMD Ryzen,16 GB,512 GB,108999,39.62 cm
Acer,Aspire,Intel Core,8 GB,512 GB,47990,39.62 cm
DELL,14,AMD Ryzen,16 GB,1 TB,107083,35.56 cm
Acer,Aspire,Intel Core,16 GB,512 GB,64900,2.54 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,74900,38.86 cm
ASUS,Expertbook,AMD Ryzen,16 GB,512 GB,67990,35.56 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,59499,35.56 cm
Lenovo,LOQ,Intel Core,16 GB,1 TB,177990,39.62 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,73990,39.62 cm
Lenovo,LOQ,Intel Core,16 GB,512 GB,95900,39.62 cm
HP,OMEN,Intel Core,16 GB,1 TB,153890,40.89 cm
ASUS,ROG,AMD Ryzen,16 GB,1 TB,289990,40.64 cm
Lenovo,IdeaPad,Intel Core,8 GB,512 GB,39572,35.56 cm
Acer,Aspire,AMD Ryzen,8 GB,512 GB,45990,39.62 cm
HP,Pavilion,Intel Core,16 GB,512 GB,85990,35.56 cm
Lenovo,Legion,Intel Core,16 GB,512 GB,169990,38.86 cm
Acer,Aspire,Intel Core,16 GB,512 GB,75500,35.56 cm
HP,Victus,Intel Core,16 GB,512 GB,95600,39.62 cm
HP,Pavilion,Intel Core,16 GB,512 GB,81342,35.56 cm
Acer,Aspire,AMD Ryzen,16 GB,1 TB,67990,39.62 cm
ASUS,ROG,AMD Ryzen,32 GB,1 TB,227990,39.62 cm
Acer,Swift,Intel Core,16 GB,512 GB,84999,35.56 cm
Acer,Aspire,AMD Ryzen,8 GB,512 GB,46990,39.62 cm
Acer,Aspire,AMD Ryzen,8 GB,512 GB,54990,39.62 cm
DELL,PRO,Intel Core,8 GB,512 GB,53990,39.62 cm
Lenovo,Intel,Intel Core,8 GB,512 GB,57011,35.56 cm
DELL,PRO,Intel Core,8 GB,512 GB,54990,39.62 cm
Ultimus,APEX,Intel Core,8 GB,512 GB,49998,35.81 cm
Infinix,B15,AMD Ryzen,16 GB,512 GB,59990,39.62 cm
HP,250R,Intel Core,8 GB,512 GB,52435,39.62 cm
Acer,Aspire,Intel Celeron,12 GB,256 GB,39990,35.56 cm
Lenovo,LOQ,Intel Core,16 GB,512 GB,94999,39.62 cm
HP,Intel,Intel Core,16 GB,1 TB,83001,39.62 cm
DELL,14,Intel Core,16 GB,512 GB,95000,35.56 cm
Apple,MacBook,Apple M5,16 GB,512 GB,179900,38.86 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,46990,39.62 cm
ASUS,ExpertBook,Intel Core,16 GB,512 GB,76990,39.62 cm
MSI,Thin,Intel Core,16 GB,512 GB,98890,39.62 cm
ASUS,ProArt,Snapdragon X,16 GB,1 TB,176000,33.78 cm
HP,Victus,AMD Ryzen,16 GB,512 GB,89990,39.62 cm
ASUS,Vivobook,AMD Ryzen,8 GB,512 GB,41990,39.62 cm
ASUS,Vivobook,AMD Ryzen,16 GB,512 GB,64475,39.62 cm
Lenovo,IdeaPad,Intel Core,8 GB,512 GB,55000,39.62 cm
Lenovo,IdeaPad,Intel Core,8 GB,512 GB,54990,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,68490,39.62 cm
HP,Pavilion,Intel Core,16 GB,512 GB,72990,39.62 cm
ASUS,TUF,Intel Core,16 GB,1 TB,142998,40.64 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,89999,39.62 cm
Lenovo,Yoga,Intel Core,16 GB,512 GB,94000,35.56 cm
DELL,Inspiron,Intel Core,16 GB,512 GB,90783,39.62 cm
ASUS,Vivobook,AMD Ryzen,16 GB,512 GB,94990,40.64 cm
Lenovo,IdeaPad,Intel Core,32 GB,1 TB,155500,35.56 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,73990,39.62 cm
Infinix,GT,Intel Core,16 GB,512 GB,99990,40.64 cm
HP,255R,AMD Ryzen,8 GB,512 GB,51990,39.62 cm
Lenovo,V14,Intel Core,8 GB,512 GB,89455,35.56 cm
Lenovo,IdeaPad,AMD Ryzen,8 GB,512 GB,59999,39.62 cm
HP,Pavilion,Intel Core,16 GB,512 GB,73688,35.56 cm
Lenovo,LOQ,Intel Core,16 GB,512 GB,98500,39.62 cm
HP,Pavilion,AMD Ryzen,16 GB,1 TB,86490,35.56 cm
Acer,Aspire,Intel Core,16 GB,512 GB,79990,39.62 cm
ASUS,TUF,AMD Ryzen,16 GB,512 GB,93990,39.62 cm
ASUS,Intel,Intel Core,16 GB,512 GB,105199,39.62 cm
HP,15s,AMD Ryzen,16 GB,512 GB,71000,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,111999,39.62 cm
ASUS,VivoBook,AMD Ryzen,16 GB,512 GB,75934,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,65990,35.56 cm
ASUS,TUF,AMD Ryzen,16 GB,512 GB,142299,40.64 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,93901,40.64 cm
Infinix,Y4,Intel Core,16 GB,512 GB,59990,40.64 cm
ASUS,VivoBook,Intel Core,8 GB,1 TB,59876,35.56 cm
Lenovo,LOQ,Intel Core,16 GB,512 GB,111500,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,66990,35.56 cm
Acer,Aspire,Intel Core,16 GB,512 GB,74999,35.56 cm
DELL,MSO'2021,Processor: Intel,RAM &,RAM &,50699,"Display: 15.6"""
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,62020,39.62 cm
GIGABYTE,AORUS,Intel Core,16 GB,1 TB,215300,39.62 cm
MSI,Modern,Intel Core,8 GB,512 GB,58985,35.56 cm
HP,AMD,AMD Athlon,8 GB,256 GB,47600,39.62 cm
HP,OmniBook,Snapdragon X,16 GB,512 GB,97000,35.56 cm
HP,Laptop,AMD Ryzen,8 GB,512 GB,52990,39.37 cm
MICROSOFT,Surface,Snapdragon X,16 GB,256 GB,147622,30.48 cm
Acer,Aspire,Intel Celeron,8 GB,256 GB,36990,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,51990,39.62 cm
HP,Intel,Intel Celeron,8 GB,512 GB,25499,39.62 cm
ASUS,Vivobook,AMD Ryzen,16 GB,512 GB,64991,39.62 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,44990,39.62 cm
HP,Pavilion,Intel Core,16 GB,512 GB,82896,35.56 cm
HP,AMD,AMD Ryzen,8 GB,512 GB,58990,39.62 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,79900,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,98999,40.64 cm
HP,Omnibook,AMD Ryzen,16 GB,512 GB,77500,39.62 cm
Infinix,GT,Intel Core,16 GB,512 GB,99990,40.64 cm
DELL,Inspiron,Intel Core,16 GB,1 TB,79990,39.62 cm
Apple,MacBook,Apple M5,24 GB,2 TB,359900,35.56 cm
HP,14s,Intel Core,8 GB,512 GB,62286,35.56 cm
HP,15,AMD Ryzen,8 GB,512 GB,52990,39.62 cm
Lenovo,LOQ,Intel Core,16 GB,1 TB,178990,39.62 cm
HP,Intel,Intel Core,8 GB,512 GB,59279,35.56 cm
